assessment_number;brand_name;active_substance;disease_area;indication;gba_procedure_start_date;gba_first_resolution_date;gba_current_resolution_date;bundled_assessment;undergone_reevaluation;indication_label;subpopulation;patient_population_min;patient_population_max;patient_population_avg;appropriate_comparative_therapy;additional_benefit;applicant_company;assessment_status;full_assessment_status;assessment_type;gba_orphan_drug_status_during_evaluation;therapeutic_area;additional_benefit_best_subpopulation;endpoints;study_design;procedure_number;study_comparator
523;Cyramza;ramucirumab;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, EGFR mutation, first-line;2020-02-15;2020-08-20;2020-08-20;No;No;Cyramza is indicated in combination with erlotinib for the first-line treatment of adult patients with metastatic non-small cell lung cancer with activating epidermal growth factor receptor (EGFR) mutations.;"b) Adult patients with metastatic NSCLC with activating EGFR mutations other than L858R or del 19; first-line therapy";90.0;250.0;170.0;"Patient-specific therapy depending on the activating EGFR mutation with a choice of:
- afatinib, gefitinib, erlotinib, osimertinib
- cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed)
- carboplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed)
- carboplatin in combination with nab-paclitaxel
- monotherapy with gemcitabine or vinorelbine (only for patients with ECOG performance status 2 as an alternative to platinum-based combination treatment).";No additional benefit;Lilly Deutschland GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;Progression-free survival, Overall survival, Objective response rate, Disease control rate, Duration of response, EQ-5D VAS, Lung Cancer Symptom Scale, Progression-free survival 2, Time to diagnosis of CNS metastases, Safety;"RELAY:  
Part A: Phase 1b, single-arm  
Part B: RCT Phase 3, double-blind, parallel  
Part C: Open, single-arm, exploratory, two-period";2020-02-15-D-515;"RELAY Part A:  
N/A

RELAY Part B:  
Placebo + Erlotinib

RELAY Part C:  
N/A"
799;Lumykras;sotorasib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, KRAS G12C mutation, ≥ 1 previous therapy;2022-02-15;2022-08-04;2022-08-04;No;No;Lumykras is used as monotherapy for the treatment of adults with advanced non-small cell lung cancer (NSCLC) with KRAS G12C mutation in whom progression has been observed after at least one previous systemic therapy.;b) Adults with advanced non-small cell lung cancer (NSCLC) with KRAS p.G12C mutation after first-line treatment with cytotoxic chemotherapy;60.0;130.0;105.0;"- Docetaxel (only for patients with PD-L1 negative tumors) or
- pemetrexed (only for patients with PD-L1 negative tumors and except for predominantly squamous cell histology) or
- nivolumab or
- pembrolizumab (only for patients with PD-L1 expressing tumors (PD-L1 expression ≥ 1% of tumor cells)) or
- atezolizumab or
- docetaxel in combination with nintedanib (only for patients with PD-L1 negative tumors and adenocarcinoma histology)";No additional benefit;Amgen Europe B.V.;Changed;Changed;First indication;No;Oncology;No additional benefit;;;2022-02-15-D-787;
783;Rybrevant;amivantamab;Non-small cell lung cancer (NSCLC);Lung cancer, non-small cell, EGFR exon 20 insertion mutation, after platinum-based therapy;2022-01-15;2022-07-07;2022-07-07;No;No;Rybrevant as monotherapy is indicated for the treatment of adult patients with advanced non-small cell lung cancer (NSCLC) and activating exon 20 insertion mutations of the epidermal growth factor receptor (EGFR) after failure of platinum-based therapy.;a) Adults with locally advanced or metastatic non-small cell lung cancer (NSCLC) with activating epidermal growth factor receptor (EGFR) exon 20 insertion mutations after failure of platinum-based chemotherapy for whom further chemotherapy is indicated;8.0;22.0;15.0;"- Docetaxel or
- docetaxel in combination with nintedanib or
- pemetrexed";No additional benefit;Janssen-Cilag GmbH;Valid;Valid;First indication;No;Oncology;No additional benefit;Forced expiratory volume in 1 second, asthma symptoms, exacerbations, health-related quality of life, adverse events;"Study 1:
double-blind, parallel, RCT (Randomized Controlled Trial)";2022-01-015-D-788;"Study 1:  
Placebo"
807;Tepmetko;tepotinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, METex14 skipping, pre-treated patients;2022-03-01;2022-09-01;2022-09-01;No;No;Tepmetko is used in adult patients with advanced non-small cell lung cancer (NSCLC) with alterations leading to METex14 skipping (exon 14 skipping in the mesenchymal-epithelial transition factor gene) who require systemic therapy following platinum-based chemotherapy and/or immunotherapy.;c) Adults with advanced non-small cell lung cancer (NSCLC) with MET tyrosine kinase receptor exon 14 (METex14) skipping changes after first-line therapy with a PD-1/PD-L1 antibody in combination with platinum-containing chemotherapy or after sequential therapy with a PD-1/PD-L1 antibody and platinum-containing chemotherapy;400.0;680.0;540.0;Patient-specific therapy taking into account the previous therapy and histology with a choice of afatinib, pemetrexed, erlotinib, docetaxel, docetaxel in combination with ramucirumab and docetaxel in combination with nintedanib and vinorelbine.;No additional benefit;Merck Europe B.V.;Valid;Valid;First indication;No;Oncology;No additional benefit;Objective Response (IRC), Objective Response (Investigator), Duration of Response (IRC, Investigator), Objective Disease Control (IRC, Investigator), Progression-Free Survival (IRC, Investigator), Overall Survival, Patient-Reported Outcome: EQ-5D, EORTC QLQ-C30, EORTC QLQ-LC13, Safety and Tolerability: Adverse Events;"VISION:  
Single-arm, open-label, multicenter Phase II study";2022-03-01-D-781;As it is a single-arm study, no direct comparator is provided. The benefit assessment is therefore based on internal and historical comparison data.
1137;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, first-line;2024-10-01;2025-03-20;2025-03-20;No;No;Tecentriq as monotherapy is used in adult patients for the first-line treatment of advanced NSCLC who are unsuitable for platinum-based therapy.;"a) Adults with advanced NSCLC with PD-L1 expression ≥ 50% on tumor cells (TC) who are considered unsuitable for platinum-based therapy; first-line treatment";550.0;2190.0;1370.0;"− Pembrolizumab as monotherapy or
− cemiplimab as monotherapy";No additional benefit;Roche Pharma AG;Valid;Valid;New application area;No;Oncology;Minor additional benefit;Overall survival (OS), Overall survival rates at 6, 12, 18, and 24 months, ORR (investigator-assessed according to RECIST v1.1), PFS (investigator-assessed according to RECIST v1.1), DOR (investigator-assessed according to RECIST v1.1), OS and PFS (investigator-assessed) in patients with PD-L1 expression determined by the SP263 assay PRO, EORTC QLQ-C30, EORTC QLQ-LC13 tolerability endpoints, ORR, PFS, and DOR (investigator-assessed according to modified RECIST), DCR (investigator-assessed according to RECIST v1.1), EQ-5D-5L;"IPSOS:  
international, multicenter, open, parallel, Phase III, RCT (Randomized Controlled Trial)";2024-10-01-D-1112;"IPSOS:  
Monochemotherapy (Vinorelbine or Gemcitabine)"
547;Alunbrig;brigatinib;Non-small cell lung cancer (NSCLC);NSCLC, ALK+, ALK-inhibitor-naive patients;2020-05-01;2020-10-15;2020-10-15;No;No;Alunbrig is indicated as monotherapy in adult patients with anaplastic lymphoma kinase (ALK)-positive, advanced non-small cell lung cancer (NSCLC) who have not previously been treated with an ALK inhibitor.;b) Adult patients with anaplastic lymphoma kinase (ALK)-positive, advanced, non-small cell lung cancer without brain metastases who have not previously been treated with an ALK inhibitor;420.0;910.0;665.0;"- Crizotinib or
- alectinib";Minor additional benefit;Takeda GmbH;Valid;Valid;New application area;No;Oncology;Considerable additional benefit;Progression‐free survival assessed by BIRC, Tumor response assessed by BIRC (ORR, duration of response, time to response, disease control rate), Intracranial tumor response assessed by BIRC, Intracranial progression‐free survival assessed by BIRC, Overall survival, Safety and tolerability;ALTA-1L:  controlled, multicenter, open-label, parallel, Phase III study;2020-05-01-D-542;"ALTA-1L:  
Crizotinib"
523;Cyramza;ramucirumab;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, EGFR mutation, first-line;2020-02-15;2020-08-20;2020-08-20;No;No;Cyramza is indicated in combination with erlotinib for the first-line treatment of adult patients with metastatic non-small cell lung cancer with activating epidermal growth factor receptor (EGFR) mutations.;"a) Adult patients with metastatic NSCLC with the activating EGFR mutations L858R or del 19; first-line therapy";690.0;1560.0;1125.0;"- Afatinib or
- gefitinib or
- erlotinib or
- osimertinib";No additional benefit;Lilly Deutschland GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;Progression-free survival, Overall survival, Objective response rate, Disease control rate, Duration of response, EQ-5D VAS, Lung Cancer Symptom Scale, Progression-free survival 2, Time to diagnosis of CNS metastases, Safety;"RELAY:  
Part A: Phase 1b, single-arm  
Part B: RCT Phase 3, double-blind, parallel  
Part C: Open, single-arm, exploratory, two-period.";2020-02-15-D-515;"RELAY:  
Part A: N/A  
Part B: Placebo + Erlotinib  
Part C: N/A"
1134;Braftovi;encorafenib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, advanced, BRAF V600E mutation, combination with binimetinib;2024-10-01;2025-03-20;2025-03-20;No;No;Encorafenib in combination with Binimetinib is used in adult patients with advanced non-small cell lung cancer (NSCLC) with a BRAF V600E mutation.;"c) Adults with advanced non-small cell lung cancer (NSCLC) with a BRAF V600E mutation; after first-line therapy";1.0;123.0;62.0;− Dabrafenib in combination with trametinib;No additional benefit;Pierre Fabre Pharma GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;;;2024-10-01-D-1114;
664;Retsevmo;selpercatinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, RET-fusion+, after platinum-based chemotherapy and/or immunotherapy;2021-03-15;2021-09-02;2021-09-02;No;No;"Retsevmo as monotherapy is used to treat adults with advanced RET fusion-positive non-small cell lung cancer (NSCLC) who require systemic therapy following platinum-based chemotherapy and/or treatment with immunotherapy.
Retsevmo as monotherapy is used to treat adults and adolescents aged 12 years and older with advanced RET-mutated medullary thyroid carcinoma (MTC) who require systemic therapy following treatment with cabozantinib and/or vandetanib.
Retsevmo as monotherapy is used to treat adults with advanced RET fusion-positive thyroid cancer who require systemic therapy following treatment with sorafenib and/or lenvatinib.";"b) Adults with RET fusion-positive advanced non-small cell lung cancer (NSCLC) for whom systemic therapy is indicated; after first-line treatment with cytotoxic chemotherapy";20.0;80.0;50.0;"- Docetaxel (only for patients with PD-L1 negative tumors) or
- pemetrexed (only for patients with PD-L1 negative tumors and except for predominantly squamous cell histology) or
- nivolumab or
- pembrolizumab (only for patients with PD-L1 expressing tumors (TPS ≥ 1 %)) or
- atezolizumab or
- docetaxel in combination with nintedanib (only for patients with PD-L1 negative tumors and adenocarcinoma histology)";No additional benefit;Lilly Deutschland GmbH;Valid;Valid;First indication;No;Oncology;No additional benefit;Determination of the maximum tolerated dose (MTD) and the recommended phase 2 dose, Assessment of safety and tolerability, Characterization of the pharmacokinetic profile, Determination of the objective response rate, Determination of the objective response rate (confirmed by the IRC), Determination of the objective response rate (according to the investigator), Objective response rate in the central nervous system, Best overall response, Duration of response (overall and in the central nervous system), Time to response, Disease control rate, Progression-free survival, Overall survival, Safety and tolerability;"LIBRETTO-001:  
International, multicenter, open-label Phase 1/2 study conducted in two phases (dose escalation and dose expansion)";2021-03-15-D-655;Comparative therapy (ZVT): For advanced NSCLC with RET fusion, platinum-based chemotherapy and/or PD-1/PD-L1 inhibitors (as monotherapy or in combination) are typically used as standard treatment. These comparison groups serve as a reference for evaluating the added benefit of Selpercatinib in the corresponding subpopulations.
495;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);"NSCLC, non-squamous, first-line, combination with nab-paclitaxel and carboplatin; maintenance therapy";2019-10-01;2020-04-02;2020-04-02;No;No;Tecentriq is used in combination with nab-paclitaxel and carboplatin for the first-line treatment of metastatic NSCLC with non-squamous histology in adult patients who do not have EGFR mutations or ALK-positive NSCLC.;"b) Adult patients with metastatic non-small cell lung cancer with non-squamous cell histology and a Tumor Proportion Score [TPS] of < 50% (PD-L1 expression) and without EGFR- or ALK-positive tumor mutations; first-line therapy";5700.0;6480.0;6090.0;"- Cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed) or
- carboplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed) or
- carboplatin in combination with nab-paclitaxel or
- pembrolizumab in combination with pemetrexed and platinum chemotherapy";No additional benefit;Roche Pharma AG;Valid;Valid;New application area;No;Oncology;No additional benefit;Overall survival, Progression-free survival (RECIST v1.1), Objective response rate (RECIST v1.1), Duration of response (RECIST v1.1), EORTC QLQ-C30, EORTC QLQ-LC13, EQ-5D VAS, Adverse events;"IMpower130:
active-controlled, multicenter, open, parallel, Phase III, Randomized controlled trial (RCT)";2019-10-01-D-486;"IMpower130:  
Carboplatin + nab (Nanoparticle albumin bound)-Paclitaxel"
