last_update_date;brand_name;active_substance;disease_area;therapeutic_area;indication;yearly_price_avg_today_apu
2025-04-08;Tafinlar;dabrafenib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, BRAF V600 mutation, combination with trametinib;57315.83
2025-04-08;Alymsys;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Lumykras;sotorasib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, KRAS G12C mutation, ≥ 1 previous therapy;47281.13
2025-04-08;Zykadia;ceritinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, first-line;85558.63611111112
2025-04-08;Zykadia;ceritinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, after crizotinib pre-therapy;85558.64
2025-04-08;Giotrif;afatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung carcinoma, squamous cell histology;25884.37
2025-04-08;Imfinzi;durvalumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR/ALK-negative, first-line, combination with tremelimumab and platinum-based chemotherapy;70161.42
2025-04-08;Cyramza;ramucirumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR mutation, first-line;70992.0
2025-04-08;Xalkori;crizotinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, first-line;53303.7481
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, after prior chemotherapy;74491.62
2025-04-08;Lazcluze;lazertinib;Non-small cell lung cancer (NSCLC);Oncology;Non‑small cell lung cancer (NSCLC), EGFR exon 19 deletions or exon 21 L858R substitution mutation;
2025-04-08;Opdivo;nivolumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, squamous cell histology, after prior chemotherapy;
